"","feed"
"585","http://riversideresearch.org/rss.xml"
"586","http://rladies.org.uk/feed/"
"587","http://rladiesphilly.org/index.xml"
"588","http://rlang.io/feed/"
"589","http://rmflight.github.io/index.xml"
"590","http://robcoleman.ca/index.xml"
"591","http://robporter.ca/feed.xml"
"592","http://robreynoldson.blogspot.com/feeds/posts/default"
"593","http://robreynoldson.blogspot.com/feeds/posts/default?alt=rss"
"594","http://rocketdatascience.org/?feed=rss2"
"595","http://rogierkievit.com/feed"
"596","http://romain.rbind.io/index.xml"
"597","http://ronaldrichman.co.za/feed/"
"598","http://rsangole.netlify.com/index.xml"
"599","http://rschram.org/feed/atom/"
"600","http://rsnippets.blogspot.com/feeds/posts/default?alt=rss"
"601","http://rstat.consulting/feed.xml"
"602","http://rubensfernando.com/feed.xml"
"603","http://rudeboybert.rbind.io/index.xml"
"604","http://ryanburge.net/feed/"
